Sample	Build	CNVnator_Y	CNVkit_Y	FREEC_Y
Sample_9	mm39	97	15	34
Sample_9	t2t	63	30	34
Sample_17	mm39	141	19	37
Sample_17	t2t	158	38	45
Sample_164	mm39	140	24	37
Sample_164	t2t	106	20	53
Sample_181	mm39	128	16	54
Sample_181	t2t	115	37	33
TOTAL	-	948	199	327
